county_id,county_desc,election_dt,contest_id,contest_title,contest_party_lbl,contest_vote_for,is_admin_juris,precinct_code,precinct_name,result_type_lbl,result_type_des,candidate_id,candidate_name,candidate_party_lbl,group_num,group_name,voting_method_lbl,voting_method_rslt_desc,group_vote_ct_adj
46,HERTFORD,2018-11-06,719,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,False,A1,AHOSKIE 1,STD,<NORMAL>,1250,Against,NON,2,,V,Election Day,298
46,HERTFORD,2018-11-06,719,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,False,A1,AHOSKIE 1,STD,<NORMAL>,1250,Against,NON,3,,O,Absentee: One-Stop,235
46,HERTFORD,2018-11-06,719,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,False,A1,AHOSKIE 1,STD,<NORMAL>,1250,Against,NON,4,,M,Absentee: By-Mail,6
46,HERTFORD,2018-11-06,719,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,False,A1,AHOSKIE 1,STD,<NORMAL>,1250,Against,NON,5,,P,Provisional,1
46,HERTFORD,2018-11-06,719,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,False,A1,AHOSKIE 1,STD,<NORMAL>,1250,Against,NON,6,,T,Election Day: Transfer,1
46,HERTFORD,2018-11-06,719,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,False,A1,AHOSKIE 1,STD,<NORMAL>,1249,For,NON,2,,V,Election Day,301
46,HERTFORD,2018-11-06,719,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,False,A1,AHOSKIE 1,STD,<NORMAL>,1249,For,NON,3,,O,Absentee: One-Stop,174
46,HERTFORD,2018-11-06,719,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,False,A1,AHOSKIE 1,STD,<NORMAL>,1249,For,NON,4,,M,Absentee: By-Mail,8
46,HERTFORD,2018-11-06,719,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,False,A1,AHOSKIE 1,STD,<NORMAL>,1249,For,NON,5,,P,Provisional,1
46,HERTFORD,2018-11-06,719,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,False,A1,AHOSKIE 1,STD,<NORMAL>,1249,For,NON,6,,T,Election Day: Transfer,1
46,HERTFORD,2018-11-06,719,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,False,A1,AHOSKIE 1,OVT,OVER VOTES,0,OVER VOTE,,2,,V,Election Day,1
46,HERTFORD,2018-11-06,719,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,False,A1,AHOSKIE 1,OVT,OVER VOTES,0,OVER VOTE,,3,,O,Absentee: One-Stop,1
46,HERTFORD,2018-11-06,719,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,False,A1,AHOSKIE 1,OVT,OVER VOTES,0,OVER VOTE,,4,,M,Absentee: By-Mail,1
46,HERTFORD,2018-11-06,719,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,False,A1,AHOSKIE 1,OVT,OVER VOTES,0,OVER VOTE,,5,,P,Provisional,1
46,HERTFORD,2018-11-06,719,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,False,A1,AHOSKIE 1,OVT,OVER VOTES,0,OVER VOTE,,6,,T,Election Day: Transfer,1
46,HERTFORD,2018-11-06,719,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,False,A1,AHOSKIE 1,UVT,UNDER VOTES,0,UNDER VOTE,,2,,V,Election Day,55
46,HERTFORD,2018-11-06,719,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,False,A1,AHOSKIE 1,UVT,UNDER VOTES,0,UNDER VOTE,,3,,O,Absentee: One-Stop,32
