county_id,county_desc,election_dt,contest_id,contest_title,contest_party_lbl,contest_vote_for,is_admin_juris,precinct_code,precinct_name,result_type_lbl,result_type_des,candidate_id,candidate_name,candidate_party_lbl,group_num,group_name,voting_method_lbl,voting_method_rslt_desc,group_vote_ct_adj
28,DARE,2018-11-06,898,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,OS KDH TOWN HALL,,STD,<NORMAL>,1304,Against,NON,2,ELECTION DAY,V,Election Day,1
28,DARE,2018-11-06,898,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,OS FESSENDEN,,STD,<NORMAL>,1304,Against,NON,2,ELECTION DAY,V,Election Day,1
28,DARE,2018-11-06,898,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,ABSENTEE MAIL,,STD,<NORMAL>,1304,Against,NON,2,ELECTION DAY,V,Election Day,1
28,DARE,2018-11-06,898,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,PROVISIONAL,,STD,<NORMAL>,1304,Against,NON,2,ELECTION DAY,V,Election Day,1
28,DARE,2018-11-06,898,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,OS OFFICE,,STD,<NORMAL>,1304,Against,NON,2,ELECTION DAY,V,Election Day,1
28,DARE,2018-11-06,898,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,OS OFFICE,,STD,<NORMAL>,1304,Against,NON,3,OS,O,Absentee: One-Stop,2
28,DARE,2018-11-06,898,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,PROVISIONAL,,STD,<NORMAL>,1304,Against,NON,3,OS,O,Absentee: One-Stop,1
28,DARE,2018-11-06,898,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,ABSENTEE MAIL,,STD,<NORMAL>,1304,Against,NON,3,OS,O,Absentee: One-Stop,1
28,DARE,2018-11-06,898,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,OS FESSENDEN,,STD,<NORMAL>,1304,Against,NON,3,OS,O,Absentee: One-Stop,2
28,DARE,2018-11-06,898,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,OS KDH TOWN HALL,,STD,<NORMAL>,1304,Against,NON,3,OS,O,Absentee: One-Stop,4
28,DARE,2018-11-06,898,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,OS KDH TOWN HALL,,STD,<NORMAL>,1304,Against,NON,4,ABSENTEE MAIL,M,Absentee: By-Mail,1
28,DARE,2018-11-06,898,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,OS FESSENDEN,,STD,<NORMAL>,1304,Against,NON,4,ABSENTEE MAIL,M,Absentee: By-Mail,1
28,DARE,2018-11-06,898,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,ABSENTEE MAIL,,STD,<NORMAL>,1304,Against,NON,4,ABSENTEE MAIL,M,Absentee: By-Mail,1
28,DARE,2018-11-06,898,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,PROVISIONAL,,STD,<NORMAL>,1304,Against,NON,4,ABSENTEE MAIL,M,Absentee: By-Mail,1
28,DARE,2018-11-06,898,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,OS OFFICE,,STD,<NORMAL>,1304,Against,NON,4,ABSENTEE MAIL,M,Absentee: By-Mail,1
28,DARE,2018-11-06,898,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,OS OFFICE,,STD,<NORMAL>,1304,Against,NON,5,PROVISIONAL,P,Provisional,1
28,DARE,2018-11-06,898,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,PROVISIONAL,,STD,<NORMAL>,1304,Against,NON,5,PROVISIONAL,P,Provisional,16
28,DARE,2018-11-06,898,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,ABSENTEE MAIL,,STD,<NORMAL>,1304,Against,NON,5,PROVISIONAL,P,Provisional,1
28,DARE,2018-11-06,898,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,OS FESSENDEN,,STD,<NORMAL>,1304,Against,NON,5,PROVISIONAL,P,Provisional,1
28,DARE,2018-11-06,898,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,OS KDH TOWN HALL,,STD,<NORMAL>,1304,Against,NON,5,PROVISIONAL,P,Provisional,1
28,DARE,2018-11-06,898,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,OS FESSENDEN,,STD,<NORMAL>,1303,For,NON,2,ELECTION DAY,V,Election Day,1
28,DARE,2018-11-06,898,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,OS KDH TOWN HALL,,STD,<NORMAL>,1303,For,NON,2,ELECTION DAY,V,Election Day,1
28,DARE,2018-11-06,898,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,OS OFFICE,,STD,<NORMAL>,1303,For,NON,2,ELECTION DAY,V,Election Day,1
28,DARE,2018-11-06,898,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,ABSENTEE MAIL,,STD,<NORMAL>,1303,For,NON,2,ELECTION DAY,V,Election Day,1
28,DARE,2018-11-06,898,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,PROVISIONAL,,STD,<NORMAL>,1303,For,NON,2,ELECTION DAY,V,Election Day,1
28,DARE,2018-11-06,898,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,PROVISIONAL,,STD,<NORMAL>,1303,For,NON,3,OS,O,Absentee: One-Stop,1
28,DARE,2018-11-06,898,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,ABSENTEE MAIL,,STD,<NORMAL>,1303,For,NON,3,OS,O,Absentee: One-Stop,1
28,DARE,2018-11-06,898,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,OS OFFICE,,STD,<NORMAL>,1303,For,NON,3,OS,O,Absentee: One-Stop,2
28,DARE,2018-11-06,898,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,OS KDH TOWN HALL,,STD,<NORMAL>,1303,For,NON,3,OS,O,Absentee: One-Stop,2
28,DARE,2018-11-06,898,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,OS FESSENDEN,,STD,<NORMAL>,1303,For,NON,3,OS,O,Absentee: One-Stop,7
28,DARE,2018-11-06,898,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,OS FESSENDEN,,STD,<NORMAL>,1303,For,NON,4,ABSENTEE MAIL,M,Absentee: By-Mail,1
28,DARE,2018-11-06,898,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,OS KDH TOWN HALL,,STD,<NORMAL>,1303,For,NON,4,ABSENTEE MAIL,M,Absentee: By-Mail,1
28,DARE,2018-11-06,898,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,OS OFFICE,,STD,<NORMAL>,1303,For,NON,4,ABSENTEE MAIL,M,Absentee: By-Mail,1
28,DARE,2018-11-06,898,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,ABSENTEE MAIL,,STD,<NORMAL>,1303,For,NON,4,ABSENTEE MAIL,M,Absentee: By-Mail,1
28,DARE,2018-11-06,898,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,PROVISIONAL,,STD,<NORMAL>,1303,For,NON,4,ABSENTEE MAIL,M,Absentee: By-Mail,1
28,DARE,2018-11-06,898,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,PROVISIONAL,,STD,<NORMAL>,1303,For,NON,5,PROVISIONAL,P,Provisional,18
28,DARE,2018-11-06,898,BIPARTISAN BOARD OF ETHICS AND ELECTIONS,,1,True,ABSENTEE MAIL,,STD,<NORMAL>,1303,For,NON,5,PROVISIONAL,P,Provisional,1
