county_id,county_desc,election_dt,contest_id,contest_title,contest_party_lbl,contest_vote_for,is_admin_juris,precinct_code,precinct_name,result_type_lbl,result_type_des,candidate_id,candidate_name,candidate_party_lbl,group_num,group_name,voting_method_lbl,voting_method_rslt_desc,group_vote_ct_adj
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B1,BETHLEHEM #1,STD,<NORMAL>,1283,Glenn P. Deal, Jr.,DEM,2,ELECTION DAY,V,Election Day,139
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B1,BETHLEHEM #1,STD,<NORMAL>,1283,Glenn P. Deal, Jr.,DEM,3,ONE STOP,O,Absentee: One-Stop,240
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B1,BETHLEHEM #1,STD,<NORMAL>,1283,Glenn P. Deal, Jr.,DEM,4,ABSENTEE,M,Absentee: By-Mail,13
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B1,BETHLEHEM #1,STD,<NORMAL>,1283,Glenn P. Deal, Jr.,DEM,5,PROVISIONAL,P,Provisional,1
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B1,BETHLEHEM #1,STD,<NORMAL>,1283,Glenn P. Deal, Jr.,DEM,6,TRANSFER,T,Election Day: Transfer,1
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B1,BETHLEHEM #1,STD,<NORMAL>,1286,Larry Yoder,REP,2,ELECTION DAY,V,Election Day,554
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B1,BETHLEHEM #1,STD,<NORMAL>,1286,Larry Yoder,REP,3,ONE STOP,O,Absentee: One-Stop,647
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B1,BETHLEHEM #1,STD,<NORMAL>,1286,Larry Yoder,REP,4,ABSENTEE,M,Absentee: By-Mail,10
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B1,BETHLEHEM #1,STD,<NORMAL>,1286,Larry Yoder,REP,5,PROVISIONAL,P,Provisional,4
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B1,BETHLEHEM #1,STD,<NORMAL>,1286,Larry Yoder,REP,6,TRANSFER,T,Election Day: Transfer,1
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B1,BETHLEHEM #1,STD,<NORMAL>,1284,Marty Pennell,REP,2,ELECTION DAY,V,Election Day,533
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B1,BETHLEHEM #1,STD,<NORMAL>,1284,Marty Pennell,REP,3,ONE STOP,O,Absentee: One-Stop,691
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B1,BETHLEHEM #1,STD,<NORMAL>,1284,Marty Pennell,REP,4,ABSENTEE,M,Absentee: By-Mail,12
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B1,BETHLEHEM #1,STD,<NORMAL>,1284,Marty Pennell,REP,5,PROVISIONAL,P,Provisional,5
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B1,BETHLEHEM #1,STD,<NORMAL>,1284,Marty Pennell,REP,6,TRANSFER,T,Election Day: Transfer,1
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B1,BETHLEHEM #1,STD,<NORMAL>,1282,Melissa D. Benfield,DEM,2,ELECTION DAY,V,Election Day,146
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B1,BETHLEHEM #1,STD,<NORMAL>,1282,Melissa D. Benfield,DEM,3,ONE STOP,O,Absentee: One-Stop,222
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B1,BETHLEHEM #1,STD,<NORMAL>,1282,Melissa D. Benfield,DEM,4,ABSENTEE,M,Absentee: By-Mail,17
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B1,BETHLEHEM #1,STD,<NORMAL>,1282,Melissa D. Benfield,DEM,5,PROVISIONAL,P,Provisional,1
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B1,BETHLEHEM #1,STD,<NORMAL>,1282,Melissa D. Benfield,DEM,6,TRANSFER,T,Election Day: Transfer,1
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B1,BETHLEHEM #1,STD,<NORMAL>,1285,Ronnie L. Reese,REP,2,ELECTION DAY,V,Election Day,498
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B1,BETHLEHEM #1,STD,<NORMAL>,1285,Ronnie L. Reese,REP,3,ONE STOP,O,Absentee: One-Stop,642
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B1,BETHLEHEM #1,STD,<NORMAL>,1285,Ronnie L. Reese,REP,4,ABSENTEE,M,Absentee: By-Mail,13
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B1,BETHLEHEM #1,STD,<NORMAL>,1285,Ronnie L. Reese,REP,5,PROVISIONAL,P,Provisional,4
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B1,BETHLEHEM #1,STD,<NORMAL>,1285,Ronnie L. Reese,REP,6,TRANSFER,T,Election Day: Transfer,1
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B1,BETHLEHEM #1,OVT,OVER VOTES,0,OVER VOTE,,2,ELECTION DAY,V,Election Day,4
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B1,BETHLEHEM #1,OVT,OVER VOTES,0,OVER VOTE,,3,ONE STOP,O,Absentee: One-Stop,7
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B1,BETHLEHEM #1,OVT,OVER VOTES,0,OVER VOTE,,4,ABSENTEE,M,Absentee: By-Mail,1
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B1,BETHLEHEM #1,OVT,OVER VOTES,0,OVER VOTE,,5,PROVISIONAL,P,Provisional,1
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B1,BETHLEHEM #1,OVT,OVER VOTES,0,OVER VOTE,,6,TRANSFER,T,Election Day: Transfer,1
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B1,BETHLEHEM #1,UVT,UNDER VOTES,0,UNDER VOTE,,2,ELECTION DAY,V,Election Day,314
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B1,BETHLEHEM #1,UVT,UNDER VOTES,0,UNDER VOTE,,3,ONE STOP,O,Absentee: One-Stop,351
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B1,BETHLEHEM #1,UVT,UNDER VOTES,0,UNDER VOTE,,4,ABSENTEE,M,Absentee: By-Mail,22
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B1,BETHLEHEM #1,UVT,UNDER VOTES,0,UNDER VOTE,,5,PROVISIONAL,P,Provisional,3
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B1,BETHLEHEM #1,UVT,UNDER VOTES,0,UNDER VOTE,,6,TRANSFER,T,Election Day: Transfer,1
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B2,BETHLEHEM #2,STD,<NORMAL>,1283,Glenn P. Deal, Jr.,DEM,2,ELECTION DAY,V,Election Day,165
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B2,BETHLEHEM #2,STD,<NORMAL>,1283,Glenn P. Deal, Jr.,DEM,3,ONE STOP,O,Absentee: One-Stop,311
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B2,BETHLEHEM #2,STD,<NORMAL>,1283,Glenn P. Deal, Jr.,DEM,4,ABSENTEE,M,Absentee: By-Mail,22
2,ALEXANDER,2018-11-06,665,ALEXANDER COUNTY BOARD OF COMMISSIONERS,,3,False,B2,BETHLEHEM #2,STD,<NORMAL>,1283,Glenn P. Deal, Jr.,DEM,5,PROVISIONAL,P,Provisional,2
